scenario,committers,pack,batch_size_max,window_us,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,load1_end
s19,1,on,1,20000,448,1.00,448.4,14.99,9673,22446,3609198,0,1.90
s19,1,on,5,20000,857,5.00,171.5,14.85,18206,22626,3519021,0,2.24
s19,1,on,10,20000,917,9.51,96.4,14.69,19174,22249,3240099,0,1.40
s19,1,on,25,20000,921,20.45,45.0,14.23,19247,22052,3290431,0,1.57
s19,1,on,50,20000,945,33.16,28.5,13.55,19662,22970,3091202,0,1.47
s19,1,on,100,20000,978,49.84,19.6,12.37,20135,26607,2994733,0,1.46
s19,1,on,200,20000,979,66.29,14.8,10.59,20286,24903,2929721,0,2.04
