scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s5,4,off,50,20000,1,7262,46.84,155.0,0.02,203200,7113539,8359247,0,0.4420,0.6970,0.2110,0.0660,0.0260,Lock,tuple,35,1.66
s5,4,off,50,20000,2,7243,46.93,154.3,0.02,202550,7163871,8183087,0,0.5380,0.6630,0.1860,0.0700,0.0810,Lock,tuple,37,1.65
s5,4,off,50,20000,3,7200,46.85,153.7,0.02,201200,7159676,10561257,0,0.5370,0.6360,0.1700,0.1360,0.0570,Lock,tuple,37,1.69
s5,4,off,200,20000,1,8518,162.48,52.4,0.01,227800,6081740,6895435,0,0.4390,0.5860,0.3100,0.0340,0.0690,Lock,tuple,20,1.52
s5,4,off,200,20000,2,8291,164.55,50.4,0.01,221150,6194987,7008681,0,0.4320,0.6670,0.1580,0.0700,0.1050,Lock,tuple,25,1.65
s5,4,off,200,20000,3,8467,164.25,51.6,0.01,227650,6039797,7990149,0,0.4390,0.6720,0.2410,0.0520,0.0340,Lock,tuple,24,1.58
s5,4,off,800,20000,1,9059,431.81,21.0,0.00,236200,5544869,6509559,0,0.3260,0.6050,0.3260,0.0700,0.0000,Lock,tuple,16,1.53
s5,4,off,800,20000,2,9183,436.70,21.0,0.00,238000,5511315,6362759,0,0.3480,0.5650,0.2170,0.2170,0.0000,Lock,tuple,16,1.48
s5,4,off,800,20000,3,8863,416.25,21.3,0.00,230600,6035603,6975127,0,0.3480,0.6520,0.2390,0.0650,0.0430,Lock,tuple,19,2.11
