scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s7,4,on,50,20000,1,6882,44.32,155.3,0.40,193150,7449083,8585740,0,0.4550,0.1830,0.6170,0.1000,0.1000,Lock,transactionid,10,4.05
s7,4,on,50,20000,2,6841,44.32,154.4,0.40,191000,7851737,8585740,0,0.4700,0.0970,0.6940,0.0810,0.1290,Lock,transactionid,6,3.23
s7,4,on,50,20000,3,6796,44.22,153.7,0.40,189600,7885291,8367636,0,0.4550,0.1500,0.5330,0.1500,0.1670,IO,WalSync,10,6.25
s7,4,on,200,20000,1,8530,163.00,52.3,0.37,224450,6274678,6996099,0,0.5000,0.4550,0.3940,0.1210,0.0300,Lock,transactionid,25,3.41
s7,4,on,200,20000,2,8821,163.66,53.9,0.36,230100,6006243,6509559,0,0.4320,0.3680,0.4740,0.0880,0.0700,Lock,transactionid,20,3.71
s7,4,on,200,20000,3,8721,161.98,53.8,0.38,227900,6035603,6916407,0,0.3330,0.3410,0.4770,0.1140,0.0680,Lock,transactionid,14,1.85
s7,4,on,800,20000,1,8630,447.56,19.3,0.36,229150,6002049,6647971,0,0.5000,0.6360,0.2730,0.0760,0.0150,Lock,tuple,23,1.85
s7,4,on,800,20000,2,8619,452.86,19.0,0.36,229600,5951717,7189037,0,0.4850,0.5780,0.2810,0.1410,0.0000,Lock,tuple,22,1.82
s7,4,on,800,20000,3,8689,467.51,18.6,0.35,230950,5968494,6647971,0,0.4620,0.7050,0.2790,0.0000,0.0160,Lock,tuple,28,2.04
