scenario,committers,batch_size_max,window_us,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,load1_end
s19,1,1,20000,448,1.00,447.9,14.99,9685,21856,3741319,0,1.63
s19,1,5,20000,734,4.99,170.2,14.86,18043,25477,3730833,0,1.59
s19,1,10,20000,902,8.17,110.4,14.68,19015,22511,3428843,0,13.19
s19,1,25,20000,937,8.93,104.9,14.21,19501,23117,3089104,0,1.55
s19,1,50,20000,937,9.22,101.7,13.57,19546,22970,3189768,0,2.56
s19,1,100,20000,992,10.49,94.6,12.41,20450,26460,2927624,0,1.59
s19,1,200,20000,963,10.69,90.1,10.73,19978,26066,3101687,0,2.61
s19,1,400,20000,1026,12.05,85.2,8.99,20841,25198,2705326,0,1.93
