scenario,committers,callers,window_us,batch_size_max,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s7,4,def,0,100000,1,7927,82.30,96.3,0.48,215800,6404702,7608467,0,1000,58;189;300;227;299;438;639;521,0,5822696,0.4480,0.6230,0.1560,0.1430,0.0780,Lock,tuple,30,1.53
s7,4,def,0,100000,2,7953,71.49,111.2,0.50,215750,6614417,7570718,0,1000,156;434;677;513;654;917;1361;977,0,6254784,0.4940,0.6710,0.2590,0.0590,0.0120,Lock,tuple,33,2.08
s7,4,def,500,100000,1,8234,73.96,111.3,0.49,219600,6534725,6928990,0,1000,250;680;992;810;1013;1414;2064;1435,0,6487016,0.4650,0.6500,0.2120,0.0620,0.0750,Lock,tuple,33,1.43
s7,4,def,500,100000,2,7709,75.71,101.8,0.49,209500,6987710,7755268,0,1000,319;892;1272;1061;1358;1891;2781;1851,0,6725984,0.5000,0.6400,0.2090,0.1160,0.0350,Lock,tuple,34,1.80
s7,4,def,2000,100000,1,8358,286.44,29.2,0.40,219700,6358564,6794772,0,1000,319;892;1277;1079;1392;1955;2897;2381,0,6980328,0.4920,0.6920,0.2310,0.0620,0.0150,Lock,tuple,30,1.86
s7,4,def,2000,100000,2,8298,312.96,26.5,0.39,220950,6320816,6744440,0,1000,319;894;1285;1099;1419;1995;2998;2889,0,7227728,0.5080,0.5970,0.2840,0.1040,0.0150,Lock,tuple,26,1.71
s7,4,def,10000,100000,1,8109,496.28,16.3,0.36,219850,6383730,7205814,0,1000,319;894;1285;1099;1419;2002;3010;3313,0,7406888,0.4620,0.5900,0.1970,0.1800,0.0330,Lock,tuple,24,1.83
s7,4,def,10000,100000,2,8260,490.81,16.8,0.36,218900,6371147,6849298,0,1000,319;894;1285;1099;1421;2007;3025;3737,0,7578528,0.5150,0.6030,0.2060,0.1760,0.0150,Lock,tuple,27,2.82
s7,4,def,50000,100000,1,8383,568.99,14.7,0.35,220200,6270484,7268728,0,1000,319;894;1285;1099;1421;2008;3032;4116,0,7726824,0.3940,0.5770,0.2500,0.1540,0.0190,Lock,tuple,18,1.51
s7,4,def,50000,100000,2,8164,569.79,14.3,0.35,221650,6266290,7423918,0,1000,319;894;1285;1099;1421;2009;3035;4501,0,7831200,0.4620,0.6560,0.2460,0.0820,0.0160,Lock,tuple,24,2.48
