span,seconds,pct_txn,us_per_trx
_meta,groups=13991;trx=677900;trx_per_group=48.45
prep,3.433,5.37,5.064
apply,30.085,47.06,44.379
fsync,26.484,41.43,39.068
hydrate,3.160,4.94,4.661
pool_lock,0.764,1.20,1.127
prep.decode,0.832,1.30,1.227
prep.xact,1.048,1.64,1.545
prep.dedup,1.344,2.10,1.983
prep.other,0.210,0.33,0.309
