scenario,committers,pack,batch_size_max,window_us,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,load1_end
s19,4,off,1,20000,1025,1.00,1024.7,15.01,21129,25280,2434793,0,2.26
s19,4,off,5,20000,1105,4.99,221.4,14.86,22671,27951,2092957,0,2.02
s19,4,off,10,20000,1126,8.41,133.9,14.69,23081,27820,1991245,0,2.52
s19,4,off,25,20000,1174,10.13,115.9,14.20,24009,28164,1849688,0,2.37
s19,4,off,50,20000,1215,11.07,109.7,13.57,24697,27541,1730150,0,2.22
s19,4,off,100,20000,1284,12.86,99.8,12.48,26087,32243,1577058,0,1.86
s19,4,off,200,20000,1321,12.67,104.3,10.84,26844,29032,1404043,0,2.23
