scenario,committers,pack,batch_size_max,window_us,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,load1_end
s19,1,off,1,20000,333,1.00,333.2,15.06,7345,38305,3680501,0,6.36
s19,1,off,5,20000,841,4.99,168.7,14.86,17933,25198,3502243,0,1.37
s19,1,off,10,20000,863,7.93,111.9,14.69,18651,26738,3334471,0,1.63
s19,1,off,25,20000,925,8.88,104.1,14.21,19430,23953,3160408,0,1.49
s19,1,off,50,20000,939,9.60,97.8,13.56,19442,25034,3191865,0,1.43
s19,1,off,100,20000,971,11.09,87.5,12.34,19799,27033,2996830,0,1.33
s19,1,off,200,20000,993,12.44,79.9,10.59,20357,25083,2927624,0,1.80
