scenario,committers,callers,window_us,batch_size_max,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s5,1,def,0,100000,1,3150,71.40,44.1,0.01,117100,10921967,21659385,0,1000,48;52;82;133;193;286;757;182,0,5171600,0.4760,0.0000,0.5500,0.1500,0.3000,IO,WalSync,6,1.55
s5,1,def,0,100000,2,2887,62.89,45.9,0.02,107100,10468982,24880611,0,1000,128;122;171;278;422;606;1474;235,0,5315232,0.4760,0.0000,0.6000,0.2000,0.2000,LWLock,ledger_v31_staging_queue,4,1.46
s5,1,def,2000,100000,1,3119,137.96,22.6,0.01,112850,13111394,20216545,0,1000,128;127;175;281;443;674;1857;569,0,5504080,0.4690,0.0000,0.6000,0.1330,0.2670,IO,WalSync,4,1.25
s5,1,def,2000,100000,2,3118,138.52,22.5,0.01,114000,12842958,23622320,0,1000,128;131;180;289;460;735;2250;904,0,5638800,0.4690,0.0000,0.7330,0.1330,0.1330,IO,WalSync,2,1.52
s5,1,def,10000,100000,1,3225,164.87,19.6,0.01,117550,13723762,18136170,0,1000,128;131;180;289;463;736;2520;1343,0,5768424,0.4690,0.0000,0.6000,0.2670,0.1330,LWLock,ledger_v31_staging_queue,4,1.20
s5,1,def,10000,100000,2,3237,165.97,19.5,0.01,115850,13170114,18656264,0,1000,128;131;180;289;463;740;2794;1763,0,5884608,0.4380,0.0000,0.5710,0.2860,0.1430,LWLock,ledger_v31_staging_queue,4,1.31
s5,1,def,50000,100000,1,3274,177.49,18.4,0.01,117500,13690208,18639486,0,1000,128;131;180;290;463;746;2982;2230,0,5987024,0.4380,0.0000,0.7140,0.2140,0.0710,LWLock,ledger_v31_staging_queue,3,1.34
s5,1,def,50000,100000,2,3282,181.66,18.1,0.01,119350,14185136,19075694,0,1000,128;131;180;290;463;749;3171;2695,0,6077544,0.4060,0.0000,0.6920,0.1540,0.1540,LWLock,ledger_v31_staging_queue,2,1.34
s5,2,def,0,100000,1,6303,59.32,106.3,0.02,188400,8560574,10024386,0,1000,239;342;388;277;399;572;504;529,0,5317768,0.5760,0.3420,0.4740,0.0790,0.1050,Lock,transactionid,13,1.37
s5,2,def,0,100000,2,5766,54.93,105.0,0.02,173100,9881780,10645143,0,1000,502;664;771;577;764;1231;964;928,0,5544760,0.4650,0.4000,0.2250,0.0750,0.3000,Lock,transactionid,16,1.48
s5,2,def,2000,100000,1,5871,179.54,32.7,0.01,172900,9118416,10670309,0,1000,502;674;797;611;801;1361;1183;1435,0,5770088,0.4240,0.3570,0.3570,0.1430,0.1430,Lock,transactionid,10,1.29
s5,2,def,2000,100000,2,5952,187.87,31.7,0.01,175850,8992587,11425284,0,1000,502;686;819;642;837;1476;1392;1946,0,5923392,0.4240,0.3570,0.4290,0.2140,0.0000,Lock,transactionid,10,1.42
s5,2,def,10000,100000,1,5840,285.31,20.5,0.00,172900,9378463,10326376,0,1000,502;686;820;644;847;1500;1448;2459,0,6109704,0.3640,0.3750,0.3330,0.1670,0.1250,Lock,transactionid,9,1.28
s5,2,def,10000,100000,2,5901,282.09,20.9,0.00,174050,9185525,10066329,0,1000,502;686;821;646;868;1533;1495;2972,0,6244296,0.3940,0.3850,0.3460,0.1920,0.0770,Lock,transactionid,10,1.23
s5,2,def,50000,100000,1,5812,317.22,18.3,0.00,171300,9344909,11148460,0,1000,502;686;821;646;868;1535;1527;3478,0,6352016,0.3910,0.4000,0.4000,0.1600,0.0400,Lock,transactionid,10,3.01
s5,2,def,50000,100000,2,6278,339.04,18.5,0.00,179350,8673820,9135194,0,1000,502;686;821;646;868;1535;1548;3986,0,6442208,0.3330,0.3640,0.3180,0.2730,0.0450,Lock,transactionid,8,1.56
s5,4,def,0,100000,1,9459,58.96,160.4,0.02,246400,5561647,6438256,0,1000,94;272;469;456;503;964;1106;383,0,5437280,0.5700,0.6030,0.1920,0.1510,0.0550,Lock,tuple,29,1.51
s5,4,def,0,100000,2,9231,60.04,153.7,0.02,241800,5666504,6438256,0,1000,203;607;902;839;998;1850;2166;709,0,5675016,0.5760,0.6320,0.1970,0.1050,0.0660,Lock,tuple,31,1.52
s5,4,def,2000,100000,1,9004,254.42,35.4,0.00,236100,5670699,6580862,0,1000,203;609;911;879;1046;1928;2345;1281,0,5914424,0.3710,0.6730,0.2240,0.0610,0.0410,Lock,tuple,22,2.63
s5,4,def,2000,100000,2,9418,280.25,33.6,0.00,242700,5536481,6010437,0,1000,203;611;927;906;1088;1994;2483;1856,0,6109600,0.3110,0.5120,0.1710,0.2200,0.0980,Lock,tuple,14,2.18
s5,4,def,10000,100000,1,9477,449.17,21.1,0.00,242100,5540675,5913968,0,1000,203;611;927;906;1088;2004;2510;2358,0,6290248,0.3110,0.4880,0.2200,0.2680,0.0240,Lock,tuple,13,1.47
s5,4,def,10000,100000,2,8695,419.47,20.7,0.00,229450,5909774,6777995,0,1000,203;611;927;906;1091;2009;2529;2878,0,6415016,0.3180,0.4760,0.2860,0.2380,0.0000,Lock,tuple,13,1.64
s5,4,def,50000,100000,1,9220,543.67,17.0,0.00,240300,5624561,6207569,0,1000,203;611;927;906;1092;2011;2533;3313,0,6527672,0.3410,0.5330,0.2670,0.1780,0.0220,Lock,tuple,15,1.63
s5,4,def,50000,100000,2,9140,536.97,17.0,0.00,238950,5649727,6585057,0,1000,203;611;927;907;1092;2012;2537;3752,0,6607840,0.3180,0.5480,0.2860,0.1670,0.0000,Lock,tuple,13,1.36
