scenario,callers,offered_rate,rep,achieved_tput,ack_p50_us,ack_p99_us,committed_p50_us,committed_p99_us,cg_avg,locks_per_trx,trx,dropped,errors,load1_end
s10,def,100,1,100,563,1207,63209,106758,5.01,14.83,2050,0,0,1.24
s10,def,100,2,100,571,1192,62717,108527,5.02,14.84,2050,0,0,1.19
s10,def,250,1,250,322,833,68485,110297,11.56,14.62,5050,0,0,1.20
s10,def,250,2,250,307,797,68222,109379,11.69,14.63,5050,0,0,1.08
s10,def,500,1,500,220,638,74448,116981,21.20,14.18,10049,0,0,1.50
s10,def,500,2,500,217,555,74252,114556,20.93,14.18,10048,0,0,1.24
s10,def,750,1,750,227,575,86900,138543,26.63,13.85,15048,0,0,1.25
s10,def,750,2,750,266,678,93192,175505,27.11,13.84,15048,0,0,1.23
s10,def,1000,1,1000,277,1235,1280311,3126853,126.89,10.51,20049,0,0,1.29
s10,def,1000,2,1000,259,827,1626341,3185573,130.18,10.50,20048,0,0,1.26
s10,def,1250,1,1250,294,1413,4294967,8535408,172.74,10.07,25048,0,0,1.60
s10,def,1250,2,1250,255,839,2631925,13916700,171.55,10.08,25047,0,0,1.32
s10,def,1500,1,1500,333,1636,5049942,29611786,186.62,9.98,30046,0,0,1.93
s10,def,1500,2,1500,249,782,3984588,20283654,187.79,9.99,30047,0,0,1.39
