scenario,affinity,committer_count,committers_seen,callers,depth,throughput_trx_s,commit_group_avg,commits_per_s,pool_lock_per_trx,trx_materialized,errors,ack_p50_us,ack_p95_us,ack_p99_us,load1_end
s11,on,2,2,200,100,967.1236650507118,8.049704142011834,120.1,13.58,20406,48,27426,1270874,2967470,2.08
s11,on,4,4,200,100,1069.256591575887,9.027246848312322,118.4,13.56,22198,8,38043,1054867,2302672,3.39
s11,on,8,8,200,100,1194.4044887324133,9.36655211912944,127.5,13.58,24531,2,33849,897581,1790967,1.94
