metric,min,q1,median,q3,p95,max,mean,stdev
trx_per_s,1673.00,5040.75,5314.50,5464.00,5639.90,8539.00,5043.43,898.05
trx_line_per_s,1673.00,5040.75,5314.50,5464.00,5639.90,8539.00,5043.43,898.05
posting_line_per_s,1673.00,5040.75,5314.50,5464.00,5639.90,8539.00,5043.43,898.05
