metric,min,q1,median,q3,p95,max,mean,stdev
trx_per_s,4869.00,10451.00,10900.00,11341.00,12381.50,13415.00,10500.77,1809.14
trx_line_per_s,4869.00,10451.00,10900.00,11341.00,12381.50,13415.00,10500.77,1809.14
posting_line_per_s,4869.00,10451.00,10900.00,11341.00,12381.50,13415.00,10500.77,1809.14
