metric,min,q1,median,q3,p95,max,mean,stdev
trx_per_s,3934.50,8120.25,8282.50,8498.50,9408.20,13147.00,7993.56,1382.05
trx_line_per_s,3934.50,8120.25,8282.50,8498.50,9408.20,13147.00,7993.56,1382.05
posting_line_per_s,3934.50,8120.25,8282.50,8498.50,9408.20,13147.00,7993.56,1382.05
