scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s19,4,off,50,20000,1,1202,49.64,24.2,13.38,24524,29409,1863319,0,0.8970,0.5310,0.2610,0.1970,0.0110,Lock,transactionid,826,2.12
s19,4,off,50,20000,2,1189,49.10,24.2,13.39,24110,30834,1820327,0,0.9030,0.5640,0.2620,0.1660,0.0080,Lock,transactionid,884,2.07
s19,4,off,50,20000,3,1190,49.97,23.8,13.37,24335,27508,1865416,0,0.8710,0.5270,0.2640,0.1970,0.0110,Lock,transactionid,784,1.95
s19,4,off,50,20000,4,1208,49.16,24.6,13.38,24630,30261,1725956,0,0.8980,0.5160,0.2610,0.2160,0.0080,Lock,transactionid,799,2.11
s19,4,off,50,20000,5,1210,49.86,24.3,13.37,24732,28901,1729101,0,0.8810,0.5170,0.2640,0.2130,0.0060,Lock,transactionid,793,1.47
s19,4,off,100,20000,1,1204,94.13,12.8,12.01,24474,27836,1819279,0,0.8710,0.5090,0.2680,0.2180,0.0060,Lock,transactionid,681,1.79
s19,4,off,100,20000,2,1255,98.29,12.8,12.02,25457,34930,1608515,0,0.8950,0.5330,0.2620,0.1980,0.0070,Lock,transactionid,734,2.88
s19,4,off,100,20000,3,1279,96.61,13.2,12.00,25795,28278,1561329,0,0.8950,0.5210,0.2620,0.2080,0.0090,Lock,transactionid,692,2.08
s19,4,off,100,20000,4,1270,95.76,13.3,12.01,25665,29130,1547698,0,0.8930,0.5320,0.2600,0.2000,0.0080,Lock,transactionid,741,1.89
s19,4,off,100,20000,5,1260,98.44,12.8,12.02,25693,28442,1642070,0,0.9020,0.5350,0.2620,0.1990,0.0050,Lock,transactionid,752,2.70
s19,4,off,200,20000,1,1311,189.69,6.9,9.93,26367,28147,1448083,0,0.8550,0.5190,0.2780,0.2000,0.0030,Lock,transactionid,552,1.72
s19,4,off,200,20000,2,1277,188.02,6.8,9.93,25947,28295,1480589,0,0.8320,0.5020,0.2850,0.2100,0.0030,Lock,transactionid,517,1.69
s19,4,off,200,20000,3,1292,194.01,6.7,9.92,26192,29556,1533018,0,0.8340,0.5040,0.2830,0.2080,0.0050,Lock,transactionid,547,2.12
s19,4,off,200,20000,4,1279,180.21,7.1,9.94,26130,33505,1495269,0,0.8940,0.5340,0.2750,0.1880,0.0020,Lock,transactionid,644,4.06
s19,4,off,200,20000,5,1299,186.52,7.0,9.92,26300,26689,1441791,0,0.8310,0.5250,0.2830,0.1840,0.0080,Lock,transactionid,579,2.25
s19,4,off,400,20000,1,1214,316.76,3.8,7.90,24707,28770,1411383,0,0.8370,0.4720,0.2970,0.2280,0.0040,Lock,transactionid,404,3.25
s19,4,off,400,20000,2,447,232.00,1.9,7.90,9280,28803,1645215,0,0.8820,0.3930,0.2870,0.3190,0.0010,Lock,transactionid,217,3.50
s19,4,off,400,20000,3,987,321.59,3.1,7.88,20582,28655,1512046,0,0.8460,0.5140,0.2940,0.1890,0.0020,Lock,transactionid,424,1.94
s19,4,off,400,20000,4,878,319.54,2.7,7.90,18214,27705,1455423,0,0.8410,0.5150,0.2940,0.1870,0.0040,Lock,transactionid,369,3.56
s19,4,off,400,20000,5,580,272.67,2.1,7.94,11725,28704,1393557,0,0.9290,0.4140,0.2660,0.3190,0.0010,Lock,transactionid,247,3.26
s19,4,off,800,20000,1,500,323.68,1.5,6.26,10034,30294,1836056,0,0.8040,0.4280,0.3100,0.2600,0.0030,Lock,transactionid,206,2.00
s19,4,off,800,20000,2,549,425.67,1.3,6.27,11493,28262,1780482,0,0.8660,0.4370,0.2810,0.2800,0.0030,Lock,transactionid,208,2.78
s19,4,off,800,20000,3,527,323.21,1.6,6.23,10989,26951,1762656,0,0.8870,0.3650,0.2810,0.3520,0.0020,LWLock,ledger_v31_staging_queue,253,1.85
s19,4,off,800,20000,4,593,355.62,1.7,6.10,12091,35422,2040528,0,0.9130,0.4610,0.2710,0.2630,0.0050,Lock,transactionid,215,2.24
s19,4,off,800,20000,5,596,471.38,1.3,6.15,12256,25378,2057306,0,0.8430,0.3200,0.2930,0.3860,0.0010,LWLock,ledger_v31_staging_queue,249,3.47
