scenario,committers,router_window_size,window_us,rep,throughput_trx_s,cg_avg,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,load1_end
s6,4,1000,50000,1,8656,620.60,0.38,229000,6115295,7038042,0,1000,0;0;0;0;0;0;3;366,0,5687776,0.4850,0.5780,0.1560,0.0310,Lock,transactionid,2.99
s6,4,1000,50000,2,8606,616.26,0.38,225550,6127878,6627000,0,1000,0;0;0;0;0;4;9;722,0,6117848,0.3940,0.5000,0.1730,0.0000,Lock,transactionid,3.61
s6,4,2000,50000,1,8667,811.21,0.35,227950,6077546,6538919,0,2000,0;0;0;0;0;5;13;998,0,6619936,0.3180,0.5710,0.0480,0.0000,Lock,transactionid,1.90
s6,4,2000,50000,2,8520,746.46,0.36,221700,6127878,7805599,0,2000,0;0;0;0;0;6;22;1285,0,6894640,0.3640,0.4580,0.2290,0.0210,Lock,transactionid,1.53
s6,4,4000,50000,1,7911,703.44,0.36,214550,6337593,7444889,0,4000,0;0;0;0;0;6;29;1583,0,7165776,0.4240,0.5540,0.1790,0.0000,Lock,transactionid,1.44
s6,4,4000,50000,2,7906,715.37,0.35,211750,6769606,7260340,0,4000,0;0;0;0;0;7;39;1868,0,7389800,0.3710,0.5510,0.1220,0.0200,Lock,transactionid,1.68
s6,4,8000,50000,1,7841,1006.05,0.31,224350,5846859,8204058,0,8000,0;0;0;0;0;10;41;2088,0,7840832,0.2500,0.0000,0.4780,0.0000,LWLock,ledger_v31_staging_queue,1.78
s6,4,8000,50000,2,8085,977.40,0.31,214050,6249512,7453278,0,8000,0;0;0;0;0;10;46;2303,0,8112320,0.4390,0.5170,0.2070,0.0000,Lock,transactionid,1.50
