scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s19,1,off,50,20000,1,934,11.00,85.0,13.52,19518,25214,3015704,0,0.9660,0.0000,0.6300,0.2850,0.0820,LWLock,ledger_v31_staging_queue,118,1.72
s19,1,off,50,20000,2,934,10.77,86.8,13.54,19329,24592,3032481,0,0.9960,0.0000,0.6570,0.2710,0.0720,LWLock,ledger_v31_staging_queue,114,1.78
s19,1,off,50,20000,3,899,11.30,79.6,13.51,18950,24330,3279945,0,0.9980,0.0000,0.6540,0.2680,0.0780,LWLock,ledger_v31_staging_queue,117,19.74
s19,1,off,50,20000,4,867,17.57,49.3,13.44,17973,24117,3265265,0,0.9980,0.0000,0.6600,0.2820,0.0580,LWLock,ledger_v31_staging_queue,117,2.20
s19,1,off,50,20000,5,894,12.65,70.7,13.50,18654,24985,3061841,0,0.9980,0.0000,0.6430,0.2850,0.0720,LWLock,ledger_v31_staging_queue,126,3.70
s19,1,off,100,20000,1,928,12.42,74.7,12.32,19274,26312,3074424,0,0.9980,0.0000,0.6390,0.2740,0.0870,LWLock,ledger_v31_staging_queue,119,3.59
s19,1,off,100,20000,2,919,14.03,65.5,12.28,19252,24100,3074424,0,0.9980,0.0000,0.6710,0.2670,0.0620,LWLock,ledger_v31_staging_queue,120,2.91
s19,1,off,100,20000,3,965,10.67,90.5,12.37,19896,24461,3038773,0,0.9690,0.0000,0.6410,0.2790,0.0800,LWLock,ledger_v31_staging_queue,113,2.33
s19,1,off,100,20000,4,956,11.36,84.1,12.33,19709,24952,3038773,0,0.9620,0.0000,0.6300,0.3050,0.0660,LWLock,ledger_v31_staging_queue,130,1.67
s19,1,off,100,20000,5,970,11.58,83.8,12.37,19890,26066,3072327,0,0.9730,0.0000,0.6410,0.2730,0.0860,LWLock,ledger_v31_staging_queue,122,2.97
s19,1,off,200,20000,1,944,13.59,69.5,10.53,19551,28409,3080716,0,0.9920,0.0000,0.6650,0.2680,0.0670,LWLock,ledger_v31_staging_queue,119,1.73
s19,1,off,200,20000,2,971,12.59,77.1,10.58,20246,25116,2992635,0,0.9690,0.0000,0.6470,0.2790,0.0740,LWLock,ledger_v31_staging_queue,127,2.53
s19,1,off,200,20000,3,938,11.08,84.7,10.64,19535,24756,3051356,0,0.9900,0.0000,0.6410,0.2980,0.0610,LWLock,ledger_v31_staging_queue,128,2.60
s19,1,off,200,20000,4,975,11.75,83.0,10.65,20298,25313,2871001,0,0.9720,0.0000,0.6540,0.2850,0.0600,LWLock,ledger_v31_staging_queue,123,1.44
s19,1,off,200,20000,5,970,12.44,78.0,10.56,19951,24248,2927624,0,0.9670,0.0000,0.6440,0.2860,0.0700,LWLock,ledger_v31_staging_queue,110,2.68
s19,1,off,400,20000,1,262,235.78,1.1,8.13,5423,25280,2673868,0,0.9950,0.0000,0.3780,0.6220,0.0000,LWLock,ledger_v31_staging_queue,114,2.33
s19,1,off,400,20000,2,252,316.41,0.8,7.98,5379,25395,2906652,0,0.9960,0.0000,0.4470,0.5530,0.0000,LWLock,ledger_v31_staging_queue,115,5.26
s19,1,off,400,20000,3,363,255.20,1.4,7.93,7656,27230,3049259,0,0.9960,0.0000,0.4660,0.5230,0.0070,LWLock,ledger_v31_staging_queue,125,2.36
s19,1,off,400,20000,4,983,13.72,71.6,8.91,20832,23052,2797600,0,0.9660,0.0000,0.6530,0.2870,0.0610,LWLock,ledger_v31_staging_queue,115,1.72
s19,1,off,400,20000,5,337,285.71,1.2,7.98,6857,25329,2787115,0,0.9960,0.0000,0.4490,0.5380,0.0120,LWLock,ledger_v31_staging_queue,111,2.50
s19,1,off,800,20000,1,272,286.50,0.9,6.20,5730,25477,3028287,0,0.9960,0.0000,0.3790,0.6210,0.0000,LWLock,ledger_v31_staging_queue,118,2.65
s19,1,off,800,20000,2,254,266.85,1.0,6.65,5337,23691,3015704,0,1.0000,0.0000,0.3980,0.6020,0.0000,LWLock,ledger_v31_staging_queue,115,2.03
s19,1,off,800,20000,3,254,363.13,0.7,6.06,5447,24707,2992635,0,0.9960,0.0000,0.3830,0.6080,0.0090,LWLock,ledger_v31_staging_queue,121,5.60
s19,1,off,800,20000,4,333,471.67,0.7,6.12,7075,23248,2667577,0,0.9960,0.0000,0.4230,0.5640,0.0130,LWLock,ledger_v31_staging_queue,112,2.42
s19,1,off,800,20000,5,227,376.69,0.6,6.56,4897,28639,3099590,0,0.9960,0.0000,0.3880,0.6080,0.0040,LWLock,ledger_v31_staging_queue,113,3.27
