metric,min,q1,median,q3,p95,max,mean,stdev
trx_per_s,2275.00,11797.50,12538.00,13363.00,14800.00,16800.00,12125.94,2327.49
trx_line_per_s,2275.00,11797.50,12538.00,13363.00,14800.00,16800.00,12125.94,2327.49
posting_line_per_s,2275.00,11797.50,12538.00,13363.00,14800.00,16800.00,12125.94,2327.49
