scenario,committers,callers,window_us,batch_size_max,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s2,4,16,0,100000,1,12129,158.27,76.6,0.11,242950,48857,242089,0,1000,66;185;183;140;140;188;231;469,0,5219440,0.9060,0.3010,0.2300,0.4320,0.0360,LWLock,ledger_v31_staging_queue,352,1.30
s2,4,16,0,100000,2,10639,113.92,93.4,0.14,213250,64126,235012,0,1000,128;391;421;326;370;424;503;911,0,5424768,0.9300,0.2880,0.2390,0.4520,0.0210,LWLock,ledger_v31_staging_queue,373,1.92
s2,4,16,500,100000,1,11624,147.94,78.6,0.12,232850,54853,224395,0,1000,155;557;602;502;546;633;717;1336,0,5601072,0.9050,0.2690,0.2010,0.4950,0.0350,LWLock,ledger_v31_staging_queue,401,1.65
s2,4,16,500,100000,2,11610,129.84,89.4,0.13,232800,55345,223739,0,1000,208;765;833;662;729;861;984;1799,0,5763704,0.9200,0.2600,0.2160,0.4850,0.0390,LWLock,ledger_v31_staging_queue,402,2.22
s2,4,16,2000,100000,1,12856,633.91,20.3,0.07,258000,49184,212074,0,1000,208;765;834;669;732;875;1005;2160,0,5862664,0.8990,0.1930,0.2240,0.5730,0.0100,LWLock,ledger_v31_staging_queue,459,2.06
s2,4,16,2000,100000,2,12125,549.10,22.1,0.08,242700,56229,203816,0,1000,208;766;836;671;744;894;1033;2538,0,5988584,0.9000,0.1380,0.2180,0.6330,0.0110,LWLock,ledger_v31_staging_queue,510,1.82
s2,4,16,10000,100000,1,12731,668.59,19.0,0.07,255400,52232,204341,0,1000,208;766;836;671;744;896;1051;2900,0,6099216,0.9000,0.1720,0.2270,0.5870,0.0150,LWLock,ledger_v31_staging_queue,477,1.93
s2,4,16,10000,100000,2,12382,666.53,18.6,0.07,247950,53346,203554,0,1000,208;766;836;671;744;899;1062;3258,0,6153488,0.8990,0.1610,0.2180,0.6100,0.0110,LWLock,ledger_v31_staging_queue,486,1.79
s2,4,16,50000,100000,1,11906,732.52,16.3,0.07,238800,56590,217972,0,1000,208;766;836;671;744;899;1070;3576,0,6258000,0.8940,0.1290,0.2070,0.6520,0.0120,LWLock,ledger_v31_staging_queue,525,1.61
s2,4,16,50000,100000,2,12841,773.95,16.6,0.06,258500,48070,212467,0,1000,208;766;837;671;744;899;1074;3905,0,6370080,0.9010,0.1800,0.2190,0.5920,0.0090,LWLock,ledger_v31_staging_queue,474,2.06
