scenario,committers,callers,window_us,batch_size_max,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,max_group,group_hist,arena_outstanding,arena_bump,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s6,2,def,0,100000,1,5750,58.20,98.8,0.47,177000,9328132,10880024,0,1000,202;317;330;260;397;619;520;480,0,5659136,0.4650,0.2750,0.4500,0.1250,0.1500,Lock,transactionid,11,1.28
s6,2,def,0,100000,2,5299,54.60,97.0,0.48,165500,10410262,11811160,0,1000,404;628;661;548;796;1216;1068;835,0,6010408,0.5620,0.1940,0.4720,0.1110,0.2220,IO,WalSync,8,1.73
s6,2,def,2000,100000,1,5462,168.44,32.4,0.48,167600,9705619,11274289,0,1000,404;640;688;581;843;1369;1314;1312,0,6365216,0.5310,0.3820,0.4710,0.1180,0.0290,Lock,transactionid,13,1.72
s6,2,def,2000,100000,2,5531,172.24,32.1,0.47,170350,9722396,10989076,0,1000,404;652;714;611;895;1499;1566;1799,0,6612512,0.5760,0.3160,0.4740,0.0790,0.1320,Lock,transactionid,12,1.41
s6,2,def,10000,100000,1,5244,250.23,21.0,0.47,160900,10343153,13648265,0,1000,404;652;714;614;907;1548;1664;2280,0,6849824,0.5300,0.3140,0.5140,0.1430,0.0290,Lock,transactionid,11,1.51
s6,2,def,10000,100000,2,5542,266.95,20.8,0.46,170050,9504292,11223957,0,1000,404;653;714;618;926;1586;1741;2778,0,7037088,0.5000,0.4060,0.3440,0.0940,0.1560,Lock,transactionid,13,2.27
s6,2,def,50000,100000,1,5432,311.91,17.4,0.45,166250,9839837,10963910,0,1000,404;653;714;618;927;1593;1810;3234,0,7228112,0.5000,0.4380,0.4380,0.1250,0.0000,Lock,transactionid,14,1.88
s6,2,def,50000,100000,2,5540,316.48,17.5,0.45,168050,9655287,10804527,0,1000,404;653;714;618;928;1597;1854;3716,0,7359720,0.5610,0.3510,0.4320,0.1890,0.0270,Lock,transactionid,13,1.36
s6,4,def,0,100000,1,8968,66.81,134.2,0.44,235700,5838471,6601834,0,1000,78;258;375;346;466;824;851;391,0,5842016,0.4850,0.3910,0.3440,0.1250,0.1410,Lock,transactionid,23,2.34
s6,4,def,0,100000,2,9416,61.19,153.9,0.45,244150,5716836,6283067,0,1000,168;564;790;704;1011;1812;1796;734,0,6261288,0.4470,0.3730,0.3730,0.1360,0.1190,Lock,transactionid,22,2.37
s6,4,def,2000,100000,1,8507,355.18,23.9,0.40,222700,6228541,6899630,0,1000,168;567;797;720;1039;1854;1888;1173,0,6803264,0.5080,0.5520,0.2990,0.1490,0.0000,Lock,transactionid,37,1.86
s6,4,def,2000,100000,2,8639,359.32,24.0,0.39,227450,6069157,7088373,0,1000,168;571;807;733;1065;1907;1951;1637,0,7054744,0.4170,0.6180,0.2550,0.0730,0.0550,Lock,transactionid,33,1.70
s6,4,def,10000,100000,1,8324,583.55,14.3,0.39,225250,6203375,7675576,0,1000,168;571;807;733;1065;1916;1963;2002,0,7308872,0.4620,0.6560,0.3280,0.0000,0.0160,Lock,transactionid,38,1.92
s6,4,def,10000,100000,2,8652,525.75,16.5,0.39,226600,6199181,6685720,0,1000,168;571;807;734;1065;1924;1979;2408,0,7424208,0.4020,0.5850,0.2260,0.1320,0.0570,Lock,transactionid,30,1.36
s6,4,def,50000,100000,1,7624,601.91,12.7,0.39,205250,7054819,7621050,0,1000,168;571;807;734;1065;1927;1988;2737,0,7656872,0.4560,0.5650,0.2900,0.1290,0.0160,Lock,transactionid,34,2.31
s6,4,def,50000,100000,2,8635,628.33,13.7,0.38,226200,6257901,6845104,0,1000,168;571;807;736;1066;1928;1997;3084,0,7784168,0.4240,0.5890,0.3700,0.0270,0.0140,Lock,transactionid,42,2.15
s6,8,def,0,100000,1,10821,843.19,12.8,0.45,272350,4773117,5398069,0,1000,9;12;15;4;1;1;1;340,0,6492328,0.2290,0.6090,0.2500,0.0940,0.0470,Lock,transactionid,32,4.00
s6,8,def,0,100000,2,10685,776.80,13.8,0.51,269550,4890558,5326766,0,1000,11;23;56;14;6;2;1;617,0,7577352,0.2540,0.6720,0.2690,0.0600,0.0000,Lock,transactionid,45,3.52
s6,8,def,2000,100000,1,11229,929.46,12.1,0.47,276050,4752146,5247074,0,1000,11;23;56;17;8;6;4;902,0,8280840,0.2920,0.7400,0.2210,0.0390,0.0000,Lock,transactionid,55,2.59
s6,8,def,2000,100000,2,10505,910.49,11.5,0.48,260400,4928307,5804916,0,1000,11;24;60;20;10;6;10;1172,0,8866032,0.1860,0.4910,0.2910,0.2180,0.0000,Lock,transactionid,26,2.71
s6,8,def,10000,100000,1,11108,940.24,11.8,0.50,274550,4794089,5452595,0,1000,11;24;60;20;10;8;13;1459,0,9435472,0.2350,0.6130,0.2740,0.0970,0.0160,Lock,transactionid,30,1.60
s6,8,def,10000,100000,2,10349,946.07,10.9,0.52,264900,4957667,6031409,0,1000,11;24;60;20;10;10;14;1736,0,10129336,0.2800,0.6890,0.2970,0.0000,0.0140,Lock,transactionid,42,2.10
s6,8,def,50000,100000,1,11023,956.34,11.5,0.50,271600,4752146,5221908,0,1000,11;24;60;20;10;10;14;2020,0,10539568,0.3300,0.6320,0.2300,0.1380,0.0000,Lock,transactionid,45,2.84
s6,8,def,50000,100000,2,10765,958.75,11.2,0.48,268450,4739563,5423235,0,1000,11;24;60;20;10;11;15;2298,0,10650704,0.3330,0.6700,0.2050,0.1140,0.0110,Lock,transactionid,53,2.02
