scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s7,4,off,50,20000,1,2952,3.77,782.8,0.27,110450,15174991,20199768,0,0.7740,0.0260,0.2400,0.4900,0.2450,LWLock,WALWrite,90,1.79
s7,4,off,50,20000,2,3093,3.74,827.4,0.27,111000,14378074,19058917,0,0.7900,0.0310,0.2910,0.4290,0.2500,LWLock,WALWrite,83,2.07
s7,4,off,50,20000,3,3072,3.73,824.7,0.27,114600,14847836,19092471,0,0.6810,0.0150,0.2190,0.5150,0.2500,LWLock,WALWrite,98,2.02
s7,4,off,200,20000,1,3237,3.81,850.6,0.26,116400,14763950,17901289,0,0.7740,0.0000,0.2240,0.5260,0.2500,LWLock,WALWrite,97,2.40
s7,4,off,200,20000,2,3257,3.80,857.1,0.26,119250,14428405,21810380,0,0.6700,0.0000,0.3320,0.4200,0.2490,LWLock,WALWrite,81,3.18
s7,4,off,200,20000,3,3206,3.82,839.9,0.26,115100,15141437,18136170,0,0.7660,0.0000,0.2840,0.4680,0.2470,LWLock,WALWrite,84,2.23
s7,4,off,800,20000,1,3231,3.78,853.8,0.26,117300,14705229,17616076,0,0.7040,0.0000,0.2500,0.5000,0.2500,LWLock,WALWrite,97,2.20
s7,4,off,800,20000,2,2495,3.81,655.7,0.26,100950,15359541,23135780,0,0.7260,0.0000,0.2920,0.4720,0.2360,LWLock,WALWrite,93,4.34
s7,4,off,800,20000,3,2749,3.80,722.5,0.26,103100,14713618,22833790,0,0.7080,0.0000,0.3430,0.4170,0.2400,LWLock,WALWrite,81,6.68
