scenario,committers,pack,batch_size_max,window_us,rep,throughput_trx_s,cg_avg,commits_s,locks_per_trx,trx,ack_p50_us,ack_p99_us,dropped,busy_frac,lock_of_busy,running_of_busy,lwlock_of_busy,io_of_busy,top_wait_type,top_wait_event,top_wait_samples,load1_end
s5,4,on,50,20000,1,7635,47.03,162.3,0.02,206800,7012876,7423918,0,0.4480,0.6750,0.1690,0.0390,0.1170,Lock,tuple,34,2.24
s5,4,on,50,20000,2,7338,46.85,156.6,0.02,200950,7155482,8459911,0,0.5560,0.6740,0.2700,0.0560,0.0000,Lock,tuple,38,3.19
s5,4,on,50,20000,3,7332,47.07,155.8,0.02,201800,7201619,7755268,0,0.4710,0.6420,0.1600,0.0990,0.0990,Lock,tuple,34,1.88
s5,4,on,200,20000,1,8926,165.94,53.8,0.01,231650,5876219,7516192,0,0.4320,0.6140,0.2810,0.0700,0.0350,Lock,tuple,22,2.23
s5,4,on,200,20000,2,8869,166.05,53.4,0.01,230650,5934940,7541358,0,0.5380,0.6760,0.2250,0.0560,0.0420,Lock,tuple,31,1.65
s5,4,on,200,20000,3,8534,165.58,51.5,0.01,226850,5926551,6882852,0,0.4550,0.5830,0.1670,0.2000,0.0500,Lock,tuple,23,2.60
s5,4,on,800,20000,1,9667,441.37,21.9,0.00,248050,5377097,5687476,0,0.3710,0.5920,0.2240,0.1630,0.0200,Lock,tuple,19,1.87
s5,4,on,800,20000,2,9536,436.38,21.9,0.00,248300,5343543,6073352,0,0.3710,0.6120,0.2240,0.1630,0.0000,Lock,tuple,19,2.02
s5,4,on,800,20000,3,9818,446.40,22.0,0.00,247750,5301600,5742002,0,0.3110,0.5120,0.2680,0.2200,0.0000,Lock,tuple,14,1.60
