scenario,affinity,committer_count,committers_seen,callers,depth,throughput_trx_s,commit_group_avg,commits_per_s,pool_lock_per_trx,trx_materialized,errors,ack_p50_us,ack_p95_us,ack_p99_us,load1_end
s10,on,2,2,50,0,1221.2957290380652,6.448990296354577,189.4,13.68,24590,0,6930,220332,448004,2.34
s10,on,4,4,50,0,1352.353774462601,7.032099404607818,192.3,13.66,27165,0,6852,181403,333709,1.90
s10,on,8,8,50,0,1407.2609284402831,8.201042873696409,171.6,13.63,28310,0,8085,166330,288882,1.60
