metric,min,q1,median,q3,p95,max,mean,stdev
trx_per_s,5096.00,14303.50,14765.00,16984.00,17416.00,17752.00,14916.21,2473.69
trx_line_per_s,5096.00,14303.50,14765.00,16984.00,17416.00,17752.00,14916.21,2473.69
posting_line_per_s,5096.00,14303.50,14765.00,16984.00,17416.00,17752.00,14916.21,2473.69
