scenario,callers,offered_rate,rep,achieved_tput,ack_p50_us,ack_p99_us,committed_p50_us,committed_p99_us,cg_avg,locks_per_trx,trx,dropped,errors,load1_end
s2,64,2500,1,2500,199,544,67010,109314,120.05,0.20,50059,0,0,2.16
s2,64,2500,2,2500,202,761,66781,110231,118.62,0.19,50057,0,0,1.54
s2,64,3000,1,2999,227,991,69140,118358,143.30,0.18,60044,0,0,1.41
s2,64,3000,2,3000,227,723,69795,121241,140.32,0.18,60055,0,0,1.32
s2,64,3500,1,3499,245,727,70516,119537,162.92,0.17,70057,0,0,1.06
s2,64,3500,2,3499,260,724,70516,119668,162.90,0.17,70048,0,0,1.20
